id	level	source	meta	ukrainian	status	source_check
ox5000-add-0121	C1	assassination	n. C1	убивство важливої або відомої особи, особливо з політичних мотивів	verified	OALD assassination noun reviewed 2026-08-18; Oxford 5000 level/POS confirmed.
ox5000-add-0122	C1	assault	n., v. C1	напад; штурм; нападати; атакувати	verified	OALD assault noun and verb reviewed 2026-08-18; physical/military attack senses retained.
ox5000-add-0123	C1	assemble	v. C1	збирати; збиратися; складати з частин	verified	OALD assemble verb reviewed 2026-08-18; group-gathering and parts-assembly senses retained.
ox5000-add-0124	C1	assembly	n. C1	зібрання; асамблея; складання; монтаж	verified	OALD assembly noun reviewed 2026-08-18; gathering/body and assembling senses retained.
ox5000-add-0125	C1	assert	v. C1	стверджувати; наполягати; відстоювати свої права або авторитет	verified	OALD assert verb reviewed 2026-08-18; statement/self-assertion/right-authority senses retained.
ox5000-add-0126	C1	assertion	n. C1	твердження; наполегливе заявлення або відстоювання	verified	OALD assertion noun reviewed 2026-08-18; statement and act-of-asserting senses retained.
ox5000-add-0127	B2	asset	n. B2	актив; цінний ресурс; перевага	verified	OALD asset noun reviewed 2026-08-18; financial and valuable-person/thing senses retained.
ox5000-add-0128	B2	assign	v. B2	призначати; доручати; відводити; присвоювати	verified	OALD assign verb reviewed 2026-08-18; task/person/allocation/value senses retained.
ox5000-add-0129	B2	assistance	n. B2	допомога; сприяння	verified	OALD assistance noun reviewed 2026-08-18; help/support sense retained.
ox5000-add-0130	C1	assurance	n. C1	запевнення; гарантія; упевненість	verified	OALD assurance noun reviewed 2026-08-18; promise/guarantee/confidence senses retained.
ox5000-add-0131	B2	assure	v. B2	запевняти; переконувати; гарантувати	verified	OALD assure verb reviewed 2026-08-18; telling-certainty and making-certain senses retained.
ox5000-add-0132	B2	astonishing	adj. B2	дивовижний; вражаючий; разючий	verified	OALD astonishing adjective reviewed 2026-08-18; surprising/very impressive sense retained.
ox5000-add-0133	C1	asylum	n. C1	притулок; політичний притулок	verified	OALD asylum noun reviewed 2026-08-18; protection/refuge sense retained without expanding obsolete institutional use.
ox5000-add-0134	C1	atrocity	n. C1	звірство; жорстокий злочин	verified	OALD atrocity noun reviewed 2026-08-18; extremely cruel/shocking act sense retained.
ox5000-add-0135	B2	attachment	n. B2	вкладення; прикріплення; насадка; прихильність	verified	OALD attachment noun reviewed 2026-08-18; email, attached-part and emotional-bond senses retained.
ox5000-add-0136	C1	attain	v. C1	досягати; здобувати	verified	OALD attain verb reviewed 2026-08-18; succeed-in-getting and reach-level/state senses retained.
ox5000-add-0137	C1	attendance	n. C1	присутність; відвідування; відвідуваність	verified	OALD attendance noun reviewed 2026-08-18; presence/act and number-attending senses retained.
ox5000-add-0138	C1	attorney	n. C1	адвокат; юрист; повірений	verified	OALD attorney noun reviewed 2026-08-18; lawyer/legal-representative sense retained.
ox5000-add-0139	C1	attribute	v., n. C1	приписувати; пояснювати як наслідок; ознака; властивість	verified	OALD attribute verb/noun reviewed 2026-08-18; cause/credit verb plus characteristic noun senses retained.
ox5000-add-0140	B2	auction	n. B2	аукціон; торги	verified	OALD auction noun reviewed 2026-08-18; public sale by competitive bidding sense retained.
