entry_id	source	part_of_speech	level	official_source	definition_path	exact_definition	selected_candidate	selected_candidate_method	sense_source	sense_gloss	sense_alignment	morphology_evidence	candidate_history	reason
ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bold_1	/us/definition/english/bold_1	brave and confident; not afraid to say what you feel or to take risks	жирний	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	V6 pymorphy3 uk canonical lemma PASS after Unicode/stress normalization; tag=ADJF,compb masc,nomn; score=1.0000	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'жирний';sense_gloss='';reverse='bold';glossDef=1.000;candDef=0.133;revDef=0.252;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'жирний'->'жирний'; tag=ADJF,compb masc,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V7: surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value; exact Oxford definition='brave and confident; not afraid to say what you feel or to take risks'.
ox5000-336cd82ab74183c72edd	bombing	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bombing	/us/definition/english/bombing	an occasion when a bomb is dropped or left somewhere; the act of doing this	бомбардування	en_wiktionary_sense_bound_uk_translation	English Wiktionary	action of dropping bombs from the air	gloss_definition_similarity=0.790; lexical_overlap=0	V6 pymorphy3 uk canonical lemma PASS after Unicode/stress normalization; tag=NOUN,inan neut,nomn; score=1.0000	en_wiktionary_sense_bound_uk_translation=>'бомбардування';sense_gloss='action of dropping bombs from the air';reverse='bombing';glossDef=0.790;candDef=0.714;revDef=0.694;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'бомбардува́ння'->'бомбардування'; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'бомбування';sense_gloss='action of dropping bombs from the air';reverse='bombing';glossDef=0.790;candDef=0.735;revDef=0.694;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'бомбува́ння'->'бомбування'; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'теракт';sense_gloss='action of placing and detonating bombs';reverse='The Attack';glossDef=0.778;candDef=0.618;revDef=0.512;lex=0.000;morph=V6 Unicode/stress-normalized dictionary lemma 'тера́кт'->'теракт'; tag=NOUN,inan masc,nomn; score=1.0000;decision=BLOCKED:semantic role mismatch: Oxford definition requires process, reverse candidate looks generic || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'бомбардування';sense_gloss='';reverse='bombing';glossDef=1.000;candDef=0.714;revDef=0.694;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'бомбардування'->'бомбардування'; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V7: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'.
ox5000-0324076e988934c9c7ca	booking	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/booking	/us/definition/english/booking	an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.	резервування	en_wiktionary_sense_bound_uk_translation	English Wiktionary	reservation for a service	gloss_definition_similarity=0.483; lexical_overlap=0	V6 pymorphy3 uk canonical lemma PASS after Unicode/stress normalization; tag=NOUN,inan neut,nomn; score=1.0000	en_wiktionary_sense_bound_uk_translation=>'резервування';sense_gloss='reservation for a service';reverse='backup';glossDef=0.483;candDef=0.448;revDef=0.125;lex=0.308;morph=V6 Unicode/stress-normalized dictionary lemma 'резервува́ння'->'резервування'; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.483; lexical_overlap=0 || en_wiktionary_sense_bound_uk_translation=>'бронювання';sense_gloss='reservation for a service';reverse='armoring';glossDef=0.483;candDef=0.552;revDef=0.069;lex=0.533;morph=V6 Unicode/stress-normalized dictionary lemma 'бронюва́ння'->'бронювання'; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.483; lexical_overlap=0 || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'записування';sense_gloss='';reverse='recording';glossDef=1.000;candDef=0.214;revDef=0.083;lex=0.500;morph=V6 Unicode/stress-normalized dictionary lemma 'записування'->'записування'; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V7: sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.483; lexical_overlap=0; exact Oxford definition='an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.'.
ox5000-00636bc1e91847dc273e	boost	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_2	/us/definition/english/boost_2	something that helps or encourages somebody/something	підсилення	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	V6 pymorphy3 uk canonical lemma PASS after Unicode/stress normalization; tag=NOUN,inan neut,nomn; score=1.0000	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'підсилення';sense_gloss='';reverse='underlining';glossDef=1.000;candDef=0.265;revDef=0.112;lex=0.000;morph=V6 Unicode/stress-normalized dictionary lemma 'Підсилення'->'підсилення'; tag=NOUN,inan neut,nomn; score=1.0000;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks process	BLOCKED V7: semantic role mismatch: Oxford definition requires person, reverse candidate looks process; exact Oxford definition='something that helps or encourages somebody/something'.
ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_1	/us/definition/english/boost_1	to make something increase, or become better or more successful	Підсилення	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	V6 pymorphy3 uk has no requested-POS parse for 'Підсилення'	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Підсилення';sense_gloss='';reverse='Gain';glossDef=1.000;candDef=0.493;revDef=0.464;lex=0.000;morph=V6 no Ukrainian morphology parse matching requested POS for 'Підсилення';decision=BLOCKED:verb candidate is not an appropriate Ukrainian infinitive/verb phrase	BLOCKED V7: verb candidate is not an appropriate Ukrainian infinitive/verb phrase; exact Oxford definition='to make something increase, or become better or more successful'.
ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bound_1	/us/definition/english/bound_1	certain or likely to happen, or to do or be something	прив' язаний	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	adjective candidate has no plausible Ukrainian adjective morphology	"Helsinki-NLP/opus-mt-en-uk_surface_candidate=>""прив' язаний"";sense_gloss='';reverse='bound';glossDef=1.000;candDef=0.209;revDef=0.126;lex=1.000;morph=V6 genuine multiword value retained; stress marks removed before tokenization;decision=BLOCKED:adjective candidate has no plausible Ukrainian adjective morphology"	BLOCKED V7: adjective candidate has no plausible Ukrainian adjective morphology; exact Oxford definition='certain or likely to happen, or to do or be something'.
ox5000-f36df4a285a808895f17	brick	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/brick_1	/us/definition/english/brick_1	baked clay used for building walls, houses and other buildings; an individual block of this	цеглина	en_wiktionary_sense_bound_uk_translation	English Wiktionary	hardened block used for building	gloss_definition_similarity=0.604; lexical_overlap=3	V6 pymorphy3 uk canonical lemma PASS after Unicode/stress normalization; tag=NOUN,inan femn,nomn; score=1.0000	en_wiktionary_sense_bound_uk_translation=>'цеглина';sense_gloss='hardened block used for building';reverse='brick';glossDef=0.604;candDef=0.396;revDef=0.540;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'цегли́на'->'цеглина'; tag=NOUN,inan femn,nomn; score=1.0000;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'цегла';sense_gloss='hardened block used for building';reverse='bricks';glossDef=0.604;candDef=0.260;revDef=0.592;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'це́гла'->'цегла'; tag=NOUN,inan femn,nomn; score=1.0000;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'цегла';sense_gloss='a building material';reverse='bricks';glossDef=0.588;candDef=0.260;revDef=0.592;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'це́гла'->'цегла'; tag=NOUN,inan femn,nomn; score=1.0000;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || en_wiktionary_sense_bound_uk_translation=>'цеглястий';sense_gloss='color';reverse='brick';glossDef=0.149;candDef=0.185;revDef=0.540;lex=1.000;morph=V6 no Ukrainian morphology parse matching requested POS for 'цеглястий';decision=BLOCKED:V6 pymorphy3 uk has no requested-POS parse for 'цеглястий' || en_wiktionary_sense_bound_uk_translation=>'цеглистий';sense_gloss='color';reverse='brick';glossDef=0.149;candDef=0.457;revDef=0.540;lex=1.000;morph=V6 no Ukrainian morphology parse matching requested POS for 'цеглистий';decision=BLOCKED:V6 pymorphy3 uk has no requested-POS parse for 'цеглистий' || en_wiktionary_sense_bound_uk_translation=>'цегляний';sense_gloss='color';reverse='brick';glossDef=0.149;candDef=0.244;revDef=0.540;lex=1.000;morph=V6 no Ukrainian morphology parse matching requested POS for 'цегляний';decision=BLOCKED:V6 pymorphy3 uk has no requested-POS parse for 'цегляний' || en_wiktionary_sense_bound_uk_translation=>'цегловий';sense_gloss='color';reverse='brick';glossDef=0.149;candDef=0.210;revDef=0.540;lex=1.000;morph=V6 no Ukrainian morphology parse matching requested POS for 'цегловий';decision=BLOCKED:V6 pymorphy3 uk has no requested-POS parse for 'цегловий' || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'блок';sense_gloss='';reverse='block';glossDef=1.000;candDef=0.357;revDef=0.320;lex=0.600;morph=V6 Unicode/stress-normalized dictionary lemma 'блок'->'блок'; tag=NOUN,inan masc,nomn; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V7: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='baked clay used for building walls, houses and other buildings; an individual block of this'.
ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/briefly	/us/definition/english/briefly	for a short time	короткий час	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	multiword adverb candidate is not an adverbial phrase	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'короткий час';sense_gloss='';reverse='short time';glossDef=1.000;candDef=0.879;revDef=0.799;lex=0.353;morph=V6 genuine multiword value retained; stress marks removed before tokenization;decision=BLOCKED:multiword adverb candidate is not an adverbial phrase	BLOCKED V7: multiword adverb candidate is not an adverbial phrase; exact Oxford definition='for a short time'.
ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadcaster	/us/definition/english/broadcaster	a person whose job is presenting or talking on television or radio programmes	мовник	en_wiktionary_sense_bound_uk_translation	English Wiktionary	organization or station that engages in the activity of such broadcasting	gloss_definition_similarity=0.631; lexical_overlap=0	V6 pymorphy3 uk canonical lemma PASS after Unicode/stress normalization; tag=NOUN,anim masc,nomn; score=1.0000	en_wiktionary_sense_bound_uk_translation=>'мовник';sense_gloss='organization or station that engages in the activity of such broadcasting';reverse='speaker';glossDef=0.631;candDef=0.487;revDef=0.516;lex=0.333;morph=V6 Unicode/stress-normalized dictionary lemma 'мо́вник'->'мовник'; tag=NOUN,anim masc,nomn; score=1.0000;decision=BLOCKED:sense-bound bilingual confirmation did not survive alignment gate || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'трансляція';sense_gloss='';reverse='broadcast';glossDef=1.000;candDef=0.428;revDef=0.512;lex=1.000;morph=V6 Unicode/stress-normalized dictionary lemma 'трансляція'->'трансляція'; tag=NOUN,inan femn,nomn; score=1.0000;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic	BLOCKED V7: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='a person whose job is presenting or talking on television or radio programmes'.
ox5000-c665d95862829f444fe3	broadly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadly	/us/definition/english/broadly	generally, without considering details	широко	Helsinki-NLP/opus-mt-en-uk_surface_candidate			gloss_definition_similarity=1.000; lexical_overlap=0	V6 pymorphy3 uk canonical lemma PASS after Unicode/stress normalization; tag=ADVB,compb; score=1.0000	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'широко';sense_gloss='';reverse='wide';glossDef=1.000;candDef=0.432;revDef=0.238;lex=0.182;morph=V6 Unicode/stress-normalized dictionary lemma 'Широко'->'широко'; tag=ADVB,compb; score=1.0000;decision=BLOCKED:surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value	BLOCKED V7: surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value; exact Oxford definition='generally, without considering details'.
