id	level	source	meta	ukrainian	status	source_check
ox5000-add-0101	C1	applaud	v. C1	аплодувати; схвалювати	verified	OALD applaud verb: clapping approval; formal praise/approval.
ox5000-add-0102	C1	applicable	adj. C1	застосовний; доречний до конкретного випадку	verified	OALD applicable adjective: true/relevant in a particular case; applicable to.
ox5000-add-0103	B2	applicant	n. B2	заявник; кандидат	verified	OALD applicant noun: person making a formal request, especially job/education.
ox5000-add-0104	C1	appoint	v. C1	призначати	verified	OALD appoint verb: choose somebody for a job or position; also formally set time/place.
ox5000-add-0105	C1	appreciation	n. C1	розуміння й оцінювання; вдячність; зростання вартості	verified	OALD appreciation noun: enjoyment/understanding; gratitude; increase in value; critical appreciation.
ox5000-add-0106	B2	appropriately	adv. B2	належним чином; доречно	verified	OALD appropriately adverb: suitably, acceptably or correctly for circumstances.
ox5000-add-0107	C1	arbitrary	adj. C1	довільний; свавільний	verified	OALD arbitrary adjective: not reason/system based; sometimes unfair; power without limits.
ox5000-add-0108	C1	architectural	adj. C1	архітектурний	verified	OALD architectural adjective: relating to architecture and buildings.
ox5000-add-0109	C1	archive	n. C1	архів; архівне сховище	verified	OALD archive noun: collection of historical records or place stored; computing archive.
ox5000-add-0110	C1	arena	n. C1	арена; сфера діяльності або протистояння	verified	OALD arena noun: sports/entertainment venue; formal area of public activity/competition.
ox5000-add-0111	C1	arguably	adv. C1	можна стверджувати; небезпідставно можна вважати	verified	OALD arguably adverb: opinion for which reasons can be given.
ox5000-add-0112	C1	arm	v. C1	озброювати; приводити вибуховий пристрій у готовність	verified	OALD arm verb: provide weapons; make bomb/device ready to explode.
ox5000-add-0113	C1	array	n. C1	широкий набір; сукупність; масив	verified	OALD array noun: large/impressive collection; computing array; specialist rows/columns.
ox5000-add-0114	B2	arrow	n. B2	стріла; стрілка або знак напрямку	verified	OALD arrow noun: projectile from bow; arrow-shaped direction/position mark.
ox5000-add-0115	C1	articulate	v. C1	чітко висловлювати або формулювати; виразно вимовляти	verified	OALD articulate verb: express thoughts clearly; speak/pronounce clearly; additional formal/specialist senses retained by lemma.
ox5000-add-0116	B2	artwork	n. B2	художнє оформлення; твір або твори мистецтва	verified	OALD artwork noun: prepared pictures/photographs; work(s) of art.
ox5000-add-0117	C1	ash	n. C1	попіл; зола	verified	OALD ash noun primary sense: grey/black powder left after burning; ashes extensions.
ox5000-add-0118	B2	aside	adv. B2	убік; осторонь; про запас	verified	OALD aside adverb: to one side/out of way; set for later; excluding one matter.
ox5000-add-0119	C1	aspiration	n. C1	прагнення; сильне бажання досягти чогось	verified	OALD aspiration noun: strong desire to have/do something; separate phonetics sense noted.
ox5000-add-0120	C1	aspire	v. C1	прагнути; сильно бажати досягти або стати кимось	verified	OALD aspire verb: strong desire to achieve or become something; Oxford 5000 C1.
