content_qa_run_id	data_factory_run_id	entry_id	source	part_of_speech	level	decision	ukrainian	qa_reason
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	PASS	жирний (підприємець): сміливий і впевнений; не боїться говорити про свої почуття або йти на ризик	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='brave and confident; not afraid to say what you feel or to take risks'; candidate='жирний (підприємець): сміливий і впевнений; не боїться говорити про свої почуття або йти на ризик'; reverse='bold and confident; not afraid to talk about your feelings or take risks'; lexical=1.000; candidate_definition_similarity=0.706; reverse_definition_similarity=0.897; semantic=0.897; POS/language checks PASS.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-336cd82ab74183c72edd	bombing	noun	B2	PASS	бомбува́ння	PASS: source-grounded second pass; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'; candidate='бомбува́ння'; reverse='bombing'; lexical=1.000; candidate_definition_similarity=0.764; reverse_definition_similarity=0.694; semantic=0.764; POS/language checks PASS.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-0324076e988934c9c7ca	booking	noun	B2	BLOCKED		BLOCKED: low reverse lexical agreement 0.000; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.'; candidate='резервува́ння'; reverse='reserve'; lexical=0.000; candidate_definition_similarity=0.399; reverse_definition_similarity=0.185; semantic=0.399.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-00636bc1e91847dc273e	boost	noun	B2	BLOCKED		BLOCKED: low reverse lexical agreement 0.125; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='something that helps or encourages somebody/something'; candidate='запомо́га'; reverse='relief work'; lexical=0.125; candidate_definition_similarity=0.355; reverse_definition_similarity=0.366; semantic=0.366.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	BLOCKED		BLOCKED: verb candidate is not an appropriate Ukrainian infinitive/verb phrase; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='to make something increase, or become better or more successful'; candidate='подвоєння (клацання): щоб збільшити значення, або стати кращим або успішнішим'; reverse='doubles (clicks): to increase value, or to become better or more successful'; lexical=0.000; candidate_definition_similarity=0.805; reverse_definition_similarity=0.577; semantic=0.000.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	BLOCKED		"BLOCKED: adjective candidate has no plausible Ukrainian adjective morphology; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='certain or likely to happen, or to do or be something'; candidate=""прив' язаний (підприємець): певний або ймовірний випадок, або зробити або бути чимось""; reverse='bound (Advanced): a certain or likely case, or do or be something'; lexical=0.000; candidate_definition_similarity=0.677; reverse_definition_similarity=0.599; semantic=0.000."
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-f36df4a285a808895f17	brick	noun	B2	PASS	Цегла (нун): випалена глина, яку використовують для будівництва стін, будинків та інших будівель; окремий блок цього	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='baked clay used for building walls, houses and other buildings; an individual block of this'; candidate='Цегла (нун): випалена глина, яку використовують для будівництва стін, будинків та інших будівель; окремий блок цього'; reverse='Bricks (nun): burned clay used to build walls, houses, and other buildings; separate blocks of this'; lexical=1.000; candidate_definition_similarity=0.881; reverse_definition_similarity=0.840; semantic=0.881; POS/language checks PASS.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	PASS	короткий час	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='for a short time'; candidate='короткий час'; reverse='short time'; lexical=0.353; candidate_definition_similarity=0.879; reverse_definition_similarity=0.799; semantic=0.879; POS/language checks PASS.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	PASS	трансляція	PASS: source-grounded second pass; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='a person whose job is presenting or talking on television or radio programmes'; candidate='трансляція'; reverse='broadcast'; lexical=1.000; candidate_definition_similarity=0.428; reverse_definition_similarity=0.512; semantic=0.512; POS/language checks PASS.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V3_round01	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V3_round01	ox5000-c665d95862829f444fe3	broadly	adverb	B2	BLOCKED		BLOCKED: low reverse lexical agreement 0.145; method=Helsinki-NLP/opus-mt-en-uk_contextual_definition_candidate; exact Oxford definition='generally, without considering details'; candidate='Широко ( прислівник): загалом, не розглядаючи подробиць'; reverse='Wide (Adverb): generally without looking at details'; lexical=0.145; candidate_definition_similarity=0.739; reverse_definition_similarity=0.509; semantic=0.739.
