entry_id	source	part_of_speech	level	official_source	definition_path	exact_definition	selected_candidate	selected_candidate_method	candidate_history	reason
ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bold_1	/us/definition/english/bold_1	brave and confident; not afraid to say what you feel or to take risks	жирний	Helsinki-NLP/opus-mt-en-uk_surface_candidate	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'жирний';reverse='bold';lex=1.000;candDef=0.133;revDef=0.252;decision=BLOCKED:surface MT candidate lacks two-sided exact-definition support	BLOCKED V4: surface MT candidate lacks two-sided exact-definition support; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='brave and confident; not afraid to say what you feel or to take risks'; candidate='жирний'; reverse='bold'; lexical=1.000; candidate_definition_similarity=0.133; reverse_definition_similarity=0.252.
ox5000-0324076e988934c9c7ca	booking	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/booking	/us/definition/english/booking	an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.	резервува́ння	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'резервува́ння';reverse='reserve';lex=0.000;candDef=0.399;revDef=0.185;decision=BLOCKED:Wiktionary candidate does not back-translate to the exact English lexical identity || en_wiktionary_matching_pos_uk_translation=>'бронюва́ння';reverse='armor';lex=0.167;candDef=0.072;revDef=0.120;decision=BLOCKED:Wiktionary candidate does not back-translate to the exact English lexical identity || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'записування';reverse='recording';lex=0.500;candDef=0.214;revDef=0.083;decision=BLOCKED:surface MT candidate does not back-translate to the exact English lexical identity	BLOCKED V4: Wiktionary candidate does not back-translate to the exact English lexical identity; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.'; candidate='резервува́ння'; reverse='reserve'; lexical=0.000; candidate_definition_similarity=0.399; reverse_definition_similarity=0.185.
ox5000-00636bc1e91847dc273e	boost	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_2	/us/definition/english/boost_2	something that helps or encourages somebody/something	запомо́га	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'запомо́га';reverse='relief work';lex=0.125;candDef=0.355;revDef=0.366;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Підсилення';reverse='Gain';lex=0.000;candDef=0.226;revDef=0.243;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic	BLOCKED V4: semantic role mismatch: Oxford definition requires person, reverse candidate looks generic; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='something that helps or encourages somebody/something'; candidate='запомо́га'; reverse='relief work'; lexical=0.125; candidate_definition_similarity=0.355; reverse_definition_similarity=0.366.
ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/boost_1	/us/definition/english/boost_1	to make something increase, or become better or more successful	Підсилення	Helsinki-NLP/opus-mt-en-uk_surface_candidate	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Підсилення';reverse='Gain';lex=0.000;candDef=0.493;revDef=0.464;decision=BLOCKED:verb candidate is not an appropriate Ukrainian infinitive/verb phrase	BLOCKED V4: verb candidate is not an appropriate Ukrainian infinitive/verb phrase; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='to make something increase, or become better or more successful'; candidate='Підсилення'; reverse='Gain'; lexical=0.000; candidate_definition_similarity=0.493; reverse_definition_similarity=0.464.
ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bound_1	/us/definition/english/bound_1	certain or likely to happen, or to do or be something	прив' язаний	Helsinki-NLP/opus-mt-en-uk_surface_candidate	"Helsinki-NLP/opus-mt-en-uk_surface_candidate=>""прив' язаний"";reverse='bound';lex=1.000;candDef=0.209;revDef=0.126;decision=BLOCKED:adjective candidate has no plausible Ukrainian adjective morphology"	"BLOCKED V4: adjective candidate has no plausible Ukrainian adjective morphology; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='certain or likely to happen, or to do or be something'; candidate=""прив' язаний""; reverse='bound'; lexical=1.000; candidate_definition_similarity=0.209; reverse_definition_similarity=0.126."
ox5000-f36df4a285a808895f17	brick	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/brick_1	/us/definition/english/brick_1	baked clay used for building walls, houses and other buildings; an individual block of this	цегли́стий	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'цегли́на';reverse='brick';lex=1.000;candDef=0.192;revDef=0.540;decision=BLOCKED:Wiktionary lexical candidate lacks two-sided exact-definition support || en_wiktionary_matching_pos_uk_translation=>'це́гла';reverse='brick';lex=1.000;candDef=0.150;revDef=0.540;decision=BLOCKED:Wiktionary lexical candidate lacks two-sided exact-definition support || en_wiktionary_matching_pos_uk_translation=>'цегля́стий';reverse='brick';lex=1.000;candDef=0.178;revDef=0.540;decision=BLOCKED:Wiktionary lexical candidate lacks two-sided exact-definition support || en_wiktionary_matching_pos_uk_translation=>'цегли́стий';reverse='brick';lex=1.000;candDef=0.246;revDef=0.540;decision=BLOCKED:Wiktionary lexical candidate lacks two-sided exact-definition support || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'блок';reverse='block';lex=0.600;candDef=0.357;revDef=0.320;decision=BLOCKED:surface MT candidate does not back-translate to the exact English lexical identity	BLOCKED V4: Wiktionary lexical candidate lacks two-sided exact-definition support; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='baked clay used for building walls, houses and other buildings; an individual block of this'; candidate='цегли́стий'; reverse='brick'; lexical=1.000; candidate_definition_similarity=0.246; reverse_definition_similarity=0.540.
ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/briefly	/us/definition/english/briefly	for a short time	короткий час	Helsinki-NLP/opus-mt-en-uk_surface_candidate	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'короткий час';reverse='short time';lex=0.353;candDef=0.879;revDef=0.799;decision=BLOCKED:multiword adverb candidate is not an adverbial phrase	BLOCKED V4: multiword adverb candidate is not an adverbial phrase; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='for a short time'; candidate='короткий час'; reverse='short time'; lexical=0.353; candidate_definition_similarity=0.879; reverse_definition_similarity=0.799.
ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadcaster	/us/definition/english/broadcaster	a person whose job is presenting or talking on television or radio programmes	мо́вник	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'мо́вник';reverse='movnik';lex=0.118;candDef=0.273;revDef=0.341;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'трансляція';reverse='broadcast';lex=1.000;candDef=0.428;revDef=0.512;decision=BLOCKED:semantic role mismatch: Oxford definition requires person, reverse candidate looks generic	BLOCKED V4: semantic role mismatch: Oxford definition requires person, reverse candidate looks generic; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='a person whose job is presenting or talking on television or radio programmes'; candidate='мо́вник'; reverse='movnik'; lexical=0.118; candidate_definition_similarity=0.273; reverse_definition_similarity=0.341.
ox5000-c665d95862829f444fe3	broadly	adverb	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/broadly	/us/definition/english/broadly	generally, without considering details	Широко	Helsinki-NLP/opus-mt-en-uk_surface_candidate	Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'Широко';reverse='Wide';lex=0.182;candDef=0.437;revDef=0.228;decision=BLOCKED:surface MT candidate does not back-translate to the exact English lexical identity	BLOCKED V4: surface MT candidate does not back-translate to the exact English lexical identity; method=Helsinki-NLP/opus-mt-en-uk_surface_candidate; exact Oxford definition='generally, without considering details'; candidate='Широко'; reverse='Wide'; lexical=0.182; candidate_definition_similarity=0.437; reverse_definition_similarity=0.228.
ox5000-7e010b349356a4ff144c	bug	noun	B2	https://www.oxfordlearnersdictionaries.com/us/definition/english/bug_1	/us/definition/english/bug_1	any small insect	ку́зка	en_wiktionary_matching_pos_uk_translation	en_wiktionary_matching_pos_uk_translation=>'клоп';reverse='crotch';lex=0.000;candDef=0.299;revDef=0.357;decision=BLOCKED:Wiktionary candidate does not back-translate to the exact English lexical identity || en_wiktionary_matching_pos_uk_translation=>'кома́шка';reverse='Cottach';lex=0.000;candDef=0.633;revDef=0.234;decision=BLOCKED:Wiktionary candidate does not back-translate to the exact English lexical identity || en_wiktionary_matching_pos_uk_translation=>'ку́зька';reverse='Coal';lex=0.000;candDef=0.378;revDef=0.097;decision=BLOCKED:Wiktionary candidate does not back-translate to the exact English lexical identity || en_wiktionary_matching_pos_uk_translation=>'ку́зка';reverse='Ostrich';lex=0.000;candDef=0.371;revDef=0.416;decision=BLOCKED:Wiktionary candidate does not back-translate to the exact English lexical identity || Helsinki-NLP/opus-mt-en-uk_surface_candidate=>'bug';reverse='bug';lex=1.000;candDef=0.401;revDef=0.401;decision=BLOCKED:candidate is not predominantly Ukrainian	BLOCKED V4: Wiktionary candidate does not back-translate to the exact English lexical identity; method=en_wiktionary_matching_pos_uk_translation; exact Oxford definition='any small insect'; candidate='ку́зка'; reverse='Ostrich'; lexical=0.000; candidate_definition_similarity=0.371; reverse_definition_similarity=0.416.
