content_qa_run_id	data_factory_run_id	entry_id	source	part_of_speech	level	decision	ukrainian	qa_reason
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-6cb94901ee4c66a30fb3	bold	adjective	B2	BLOCKED		BLOCKED V7: surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value; exact Oxford definition='brave and confident; not afraid to say what you feel or to take risks'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-336cd82ab74183c72edd	bombing	noun	B2	BLOCKED		BLOCKED V7: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='an occasion when a bomb is dropped or left somewhere; the act of doing this'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-0324076e988934c9c7ca	booking	noun	B2	BLOCKED		BLOCKED V7: sense-specific Wiktionary gloss does not align with exact Oxford definition; gloss_similarity=0.483; lexical_overlap=0; exact Oxford definition='an arrangement that you make in advance to buy a ticket to travel somewhere, go to the theatre, etc.'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-00636bc1e91847dc273e	boost	noun	B2	BLOCKED		BLOCKED V7: semantic role mismatch: Oxford definition requires person, reverse candidate looks process; exact Oxford definition='something that helps or encourages somebody/something'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-c0b4a3f25a5eb7edbd5f	boost	verb	B2	BLOCKED		BLOCKED V7: verb candidate is not an appropriate Ukrainian infinitive/verb phrase; exact Oxford definition='to make something increase, or become better or more successful'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-1f5a6ea35a13b0e40dd1	bound	adjective	B2	BLOCKED		BLOCKED V7: adjective candidate has no plausible Ukrainian adjective morphology; exact Oxford definition='certain or likely to happen, or to do or be something'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-f36df4a285a808895f17	brick	noun	B2	BLOCKED		BLOCKED V7: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='baked clay used for building walls, houses and other buildings; an individual block of this'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-c8c42d98d7e616f8064a	briefly	adverb	B2	BLOCKED		BLOCKED V7: multiword adverb candidate is not an adverbial phrase; exact Oxford definition='for a short time'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-a29b52dd76fad8a77358	broadcaster	noun	B2	BLOCKED		BLOCKED V7: sense-bound bilingual confirmation did not survive alignment gate; exact Oxford definition='a person whose job is presenting or talking on television or radio programmes'.
MANUAL_EMERGENCY_WORK_20260820_SECOND_PASS_V7_round04	MANUAL_EMERGENCY_WORK_20260820_FIRST_PASS_V7_round04	ox5000-c665d95862829f444fe3	broadly	adverb	B2	BLOCKED		BLOCKED V7: surface MT is candidate generation only; no independent sense-specific bilingual confirmation for this lexical value; exact Oxford definition='generally, without considering details'.
